key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,Search,,DOI (Screened),For search,,,,,
rayyan-1032990187,An Evaluation of the Coupling Coordination of Technological Innovation System in China’s Marine Biopharmaceutical Industry,2023,,,Journal of Ocean University of China,,22,1,271-284,"Fu, X. and Zheng, Y. and Lin, C. and Wang, P. and Wang, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136586591&doi=10.1007%2fs11802-023-5310-5&partnerID=40&md5=d68db88c9c95a73e9ead15f20ea1fbaf,,,,"The marine biopharmaceutical industry (MBI) has been considered as an important part of the blue economy. The high-quality development of this industry depends on the high-level coordinated development of technological innovation system (TIS). In the present study, the coupling mechanism of industrial innovation input subsystem and innovation output subsystem was analyzed for the first time. On this basis, the development level and coupling coordination level of TIS in China’s MBI during 2008–2018 were empirically evaluated with the capacity coupling coordination model. Then, the obstacle factors were diagnosed and recognized with the obstacle model. The results showed that the innovation input index fluctuated at a low level in China’s MBI. The innovation output index has basically maintained a growth trend, whereas the quality of development was not high. Although the coupling coordination level of TIS showed a positive change as mild disordered → primary coordinated → well-coordinated, the development type of innovation system has changed from the lagging output of innovation into the lagging input of innovation. Insufficient input of innovation factors remained the main obstacle to the improvement of coordination level. Based on the above analysis, suggestions were put forward from the perspectives of policy and fund guarantees to improve the coupling coordination level in China’s MBI. © 2023, Ocean University of China, Science Press and Springer-Verlag GmbH Germany.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,pharmaceutical,Tier 2 (Applications)",10.1007/s11802-023-5310-5,coordinated development;marine biopharmaceutical industry;obstacle factor;subsystem coupling;technological innovation system;Military Personnel;China,,,10.1007/s11802-023-5310-5,DOI(,10.1007/s11802-023-5310-5,DOI(10.1007/s11802-023-5310-5) OR,,,, ,
rayyan-1032990188,A Fully Integrated Biorefinery Process for the Valorization of Ulva fasciata into Different Green and Sustainable Value-Added Products,2023,,,Sustainability (Switzerland),,15,9,,"El-Gendy, N.S. and Nassar, H.N. and Ismail, A.R. and Ali, H.R. and Ali, B.A. and Abdelsalam, K.M. and Mubarak, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159361793&doi=10.3390%2fsu15097319&partnerID=40&md5=42e8458e5e01256449fe340eca513bd9,,,,"In the framework of a sustainable marine bioeconomy, the present work describes an advanced, eco-friendly, fully integrated biorefinery process for marine Ulva fasciata macroalgae. That would serve as a solution for ecosystem bioremediation, an effective utilization of marine macroalgal resources, and a new initiative to promote a green and low-carbon economy. Ulva fasciata biomass can be utilized as an organic fertilizer with total N, P2O5, and K2O contents of 3.17% and a C/N ratio of 11.71. It can also be used as a solid biofuel with a sufficient calorific value of 15.19 MJ/kg. It has high carbohydrate content and low lignin content of approximately 44.85% and 1.5%, respectively, which recommend its applicability in bioethanol and biobutanol production. Its protein, fiber, lipid, and ash contents of approximately 13.13%, 9.9%, 3.27%, and 21%, respectively with relatively high concentrations of omega-3 fatty acids (n-3 PUFAs) and omega-9 fatty acids (n-9 MUFAs) and relatively low omega-6 fatty acids (n-6 PUFAs) and a n-6/n-3 ratio of 0.13 also recommend its applicability as food additives and animal feeders. Moreover, the suggested sequential zero-waste biomass residue process yielded 34.89% mineral-rich water extract (MRWE), 2.61% chlorophylla,b, 0.41% carotenoids, 12.55% starch, 3.27% lipids, 22.24% ulvan, 13.37% proteins, and 10.66% cellulose of Ulva fasciata dry weight. The efficient biocidal activity of extracted ulvan against pathogenic microorganisms and sulfate-reducing bacteria recommends its application for medical purposes, water densification, and mitigation of microbially induced corrosion in the oil and gas industry. © 2023 by the authors.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,Oil and gas,Tier 2 (Applications)",10.3390/su15097319,biopolymers;biorefinery;blue economy;Ulva fasciata;valorization;value-added products;biofuel;biomass;carbohydrate;leafy vegetable;lignin;polymer;primary sector industry;resource economy,,,10.3390/su15097319,DOI(,10.3390/su15097319,DOI(10.3390/su15097319) OR,,,,,
rayyan-1032990189,The Blue Bond Market: A Catalyst for Ocean and Water Financing,2023,,,Journal of Risk and Financial Management,,16,3,,"Bosmans, P. and de Mariz, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150862570&doi=10.3390%2fjrfm16030184&partnerID=40&md5=069478d3c86bccc770d90e818d1f1a76,,,,"The blue bond market has emerged as one of the latest additions in the sustainable debt market. Its goal is to channel funding toward sustainable blue economy projects related to the ocean and freshwater. While the protection of hydric resources has gained importance within the problem of climate change, Sustainable Development Goals linked to water remain the most underfunded. Since the issuance of the first blue bond in the Seychelles in 2018, multiple public and private organizations have turned to the blue bond market to raise funds. However, unlike the green bond market, no comprehensive market overview exists, preventing stakeholders from judging whether this label has been effective in protecting water resources and drawing conclusions on its future potential. This paper draws on an extensive review of academic research and complements it with a unique and comprehensive analysis of blue bonds issued to date, providing a contribution to the literature on sustainable finance. Between 2018 and 2022, 26 blue bond transactions took place, amounting to a total value of USD 5.0 billion, with a 92% CAGR between those years. Currently, blue bonds represent less than 0.5% of the sustainable debt market. The use of proceeds has mostly focused on waste management, biodiversity, and sustainable fisheries, but also ranges across other areas of the sustainable blue economy. Only two-thirds of blue bond issuers report on impact metrics, providing further opportunity to add detail and rigor. We draw comparisons to the more mature green bond market and conclude that a lack of standardized definitions, metrics, and expertise by issuers and investors are significant barriers to the blue bond market. Resolving these barriers is crucial to attract corporations and ensure continued growth of the blue bond market. © 2023 by the authors.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,non-targeted,Tier 2 (Applications)",10.3390/jrfm16030184,blue bonds;blue economy;blue finance;ESG;green bonds;sustainable finance;sustainable investing,,,10.3390/jrfm16030184,DOI(,10.3390/jrfm16030184,DOI(10.3390/jrfm16030184) OR,,,,,
rayyan-1032990190,Media coverage of the blue economy in British newspapers: Sea blindness and sustainable development,2023,,,Geographical Journal,,189,2,193-203,"Germond-Duret, C. and Germond, B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125768842&doi=10.1111%2fgeoj.12433&partnerID=40&md5=b0a9c3fbfceee0e06ba9467b55748563,,,,"The wide acceptance and endorsement of the blue economy by public and private actors can be considered as a positive step towards the sustainable transition of coastal and marine environments. While particular attention needs to be paid to the potential risks posed by the perspective of economic gains resulting from marine exploitation, a large public support is also required to build a sustainable society. The mass media plays a critical role in communicating scientific advances and risks, shaping opinions, and fostering behavioural change. The article discusses the media coverage of the blue economy in British newspapers through a frame analysis. The analysis reveals that the blue economy is largely framed in terms of economic opportunities and weak sustainability, and treated in a very factual, non-critical way. Sea blindness enables us to understand the lack of in-depth discussion about the blue economy and its framing as an overtly positive economic opportunity. The findings also suggest that the way the blue economy is represented proceeds from the dominant development discourse that has spread onto the marine space. The information, practices and views in this article are those of the author(s) and do not necessarily reflect the opinion of the Royal Geographical Society (with IBG). © 2022 The Authors. The Geographical Journal published by John Wiley & Sons Ltd on behalf of Royal Geographical Society (with the Institute of British Geographers).","Export Date: 03 July 2023; Cited By: 1 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: negative,Tier 1 (BE),non-targeted",10.1111/geoj.12433,United Kingdom;economic growth;marine environment;mass media;media role;sustainability;sustainable development;Newspapers,,,10.1111/geoj.12433,DOI(,10.1111/geoj.12433,DOI(10.1111/geoj.12433) OR,,,,,
rayyan-1032990191,"A system dynamics model to support marine spatial planning in Algoa Bay, South Africa",2023,,,Environmental Modelling and Software,,160,,,"Vermeulen-Miltz, E. and Clifford-Holmes, J.K. and Scharler, U.M. and Lombard, A.T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143677132&doi=10.1016%2fj.envsoft.2022.105601&partnerID=40&md5=1f73346964b11a51819ea5c5c5870714,,,,"The foundation of a healthy marine environment is central to the ecosystem-based management approach and is recommended for achieving sustainable development outcomes in marine spatial planning. Algoa Bay, South Africa, features a metropolitan area, protected natural area and hosts a range of uses that are closely interconnected with the health of the marine system. Future trajectories of marine uses and related marine sustainability goals are expected to develop according to shifting needs of various sectors operating in the bay. We therefore leverage the application of system dynamics modelling, to explore these trends and the underlying feedback effects between marine uses and the marine environment by developing the Algoa Marine Systems Analysis Tool. The model is used to investigate sustainability outcomes under alternative scenarios over time, and demonstrates how multiple, cross-sectoral management interventions can result in system-wide change and can be used to achieve desirable marine sustainability goals in the long-term. © 2022 Elsevier Ltd","Export Date: 03 July 2023; Cited By: 1 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,non-targeted,Tier 2 (Applications)",10.1016/j.envsoft.2022.105601,Blue economy;Integrated ocean management;Social-ecological system;System dynamics modelling;Systems analysis;Algoa Bay;Eastern Cape;South Africa;Ecology;Sustainable development;System theory;Blue economies;Ecosystem-based management;Integrated oceans managements;Marine environment;Marine Spatial Planning;Marine systems;Metropolitan area;Social-ecological systems;environmental economics;environmental modeling;integrated approach;marine environment;spatial planning;sustainability;sustainable development;Military Personnel,,,10.1016/j.envsoft.2022.105601,DOI(,10.1016/j.envsoft.2022.105601,DOI(10.1016/j.envsoft.2022.105601) OR,,,,,
rayyan-1032990192,Increasing global oceanic wind speed partly counteracted water clarity management effectiveness: A case study of Hainan Island coastal waters,2023,,,Journal of Environmental Management,,339,,,"Shen, M. and Lin, J. and Ye, Y. and Ren, Y. and Zhao, J. and Duan, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152641408&doi=10.1016%2fj.jenvman.2023.117865&partnerID=40&md5=d3701650fad5888f6b740f124659ef36,,,,"A sustainable coastal “blue economy” is one of the most significant opportunities and challenges in the new era. However, the management and conservation of marine ecosystems must recognize the interdependence in the coupled human and natural systems. In this study, we employed satellite remote sensing to map the spatial and temporal distribution of Secchi disk depth (SDD) in Hainan coastal waters, China for the first time, and quantitatively revealed the impacts of environmental investments on the coastal water environment in the context of global climate change. Based on the moderate resolution imaging spectroradiometer (MODIS) in situ concurrent matchups (N = 123), a simple green band (555 nm)-based quadratic algorithm was first developed to estimate the SDD for the coastal waters of Hainan Island in China (R2 = 0.70, root mean square error (RMSE) = 1.74 m). The long time-series SDD dataset (2001–2021) for Hainan coastal waters was reconstructed from MODIS observations. Spatially, SDD showed a pattern of high water clarity in eastern and southern coastal waters and low water clarity in the western and northern coastal areas. This pattern is attributed to unbalanced distributions of bathymetry and pollution from seagoing rivers. Seasonally, the humid tropical monsoon climate drove the SDD into a general pattern of high in the wet season and low in the dry season. Annually, the SDD in Hainan coastal waters improved significantly (p < 0.1), benefiting from environmental investments over the last 20 years. However, the increasing global oceanic wind speed in recent years has exacerbated sediment resuspension and deep ocean mixing, counteracting approximately 14.14% of the remedial management's effectiveness in protecting and restoring the coastal ecosystem. This study offers ways to improve the ecological and environmental regulations under global changes and to strengthen the public service capacity for aquatic management authorities with methods that support the sustainable development of coastal areas. © 2023 Elsevier Ltd","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: positive,aquaculture,Tier 2 (Applications)",10.1016/j.jenvman.2023.117865,Climate change;Coastal water;Driving factors;Secchi disk depth;Ecosystem;Environmental Monitoring;Humans;Oceans and Seas;Water;Wind;Hainan;water;bathymetry;climate change;coastal water;data set;global climate;MODIS;public service;wind velocity;algorithm;aquaculture;Article;coastal waters;controlled study;dry season;environmental management;environmental protection;global change;human;information processing;marine environment;mathematical model;monsoon climate;particle resuspension;remote sensing;root mean squared error;seasonal variation;sustainable development;wind speed;ecosystem;environmental monitoring;procedures;sea;wind,,,10.1016/j.jenvman.2023.117865,DOI(,10.1016/j.jenvman.2023.117865,DOI(10.1016/j.jenvman.2023.117865) OR,,,,,
rayyan-1032990193,(In)justice and the blue economy,2023,,,Geographical Journal,,189,2,184-192,"Germond-Duret, C. and Heidkamp, C.P. and Morrissey, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141410910&doi=10.1111%2fgeoj.12483&partnerID=40&md5=95463bbe0046198e69143f6bafbe47ce,,,,"While the ocean space has long been ignored by social sciences, the past 15 years have witnessed an increased interest in the marine environment by scholars in Human Geography. The academic literature on the blue economy, almost non-existent a few years ago, is now burgeoning. The academic debate has offered some critical assessment of blue economy initiatives, but more needs to be done to address the true place of environmental protection within a blue economy, and to put people at the centre of concerns and analyses. Of particular concern, is the ambiguity of the blue economy concept and the confusion over its social and environmental sustainability, which can ultimately result in harmful practices. An important question is then how should social scientists in general and geographers, specifically, engage with these debates, and in particular how should the potential human and social costs of the blue economy be investigated and addressed while assuring justice and fairness? The papers presented here share the vision that environmental sustainability, justice and equality should be at the heart of the blue economy; not just conceptually, but practically too. The papers pursue efforts to identify blue economy risks and the mechanisms through which they occur; assess the place of inclusion and participation in a sustainable blue economy; define what blue economy policies should include to drive just and sustainable practices; and identify where the dominant understandings of the blue economy and its priorities are coming from. In other words, they put considerations of justice and broader cultural structures at the centre of their concerns and analysis. They also highlight the need to bypass geographical boundaries and gain insights from other disciplines and methodologies to grasp such an encompassing concept, and foster not just a blue economy with social justice, but a blue economy for social justice. The information, practices and views in this article are those of the author(s) and do not necessarily reflect the opinion of the Royal Geographical Society (with IBG). © 2022 The Authors. The Geographical Journal published by John Wiley & Sons Ltd on behalf of Royal Geographical Society (with the Institute of British Geographers).","Export Date: 03 July 2023; Cited By: 1 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: negative,Tier 1 (BE),non-targeted",10.1111/geoj.12483,blue economy;communities;justice;sustainability;environmental economics;local participation;marine environment;social justice,,,10.1111/geoj.12483,DOI(,10.1111/geoj.12483,DOI(10.1111/geoj.12483) OR,,,,,
rayyan-1032990194,Nature dependent tourism – Combining big data and local knowledge,2023,,,Journal of Environmental Management,,337,,,"Spalding, M.D. and Longley-Wood, K. and McNulty, V.P. and Constantine, S. and Acosta-Morel, M. and Anthony, V. and Cole, A.D. and Hall, G. and Nickel, B.A. and Schill, S.R. and Schuhmann, P.W. and Tanner, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150384174&doi=10.1016%2fj.jenvman.2023.117696&partnerID=40&md5=007c6cb2f823d8050bc8119e69b08d57,,,,"The ability to quantify nature's value for tourism has significant implications for natural resource management and sustainable development policy. This is especially true in the Eastern Caribbean, where many countries are embracing the concept of the Blue Economy. The utilization of user-generated content (UGC) to understand tourist activities and preferences, including the use of artificial intelligence and machine learning approaches, remains at the early stages of development and application. This work describes a new effort which has modelled and mapped multiple nature dependent sectors of the tourism industry across five small island nations. It makes broad use of UGC, while acknowledging the challenges and strengthening the approach with substantive input, correction, and modification from local experts. Our approach to measuring the nature-dependency of tourism is practical and scalable, producing data, maps and statistics of sufficient detail and veracity to support sustainable resource management, marine spatial planning, and the wider promotion of the Blue Economy framework. © 2023","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: tourism,positive,Tier 2 (Applications)",10.1016/j.jenvman.2023.117696,Blue economy;Eastern caribbean;Ecosystem services;Nature dependent tourism;User-generated content;Wildlife tourism;Artificial Intelligence;Big Data;Conservation of Natural Resources;Sustainable Development;Tourism;artificial intelligence;ecosystem service;machine learning;natural resource;resource management;sustainable development;tourism;traditional knowledge;wildfire;article;big data;Caribbean;economic aspect;human;wildlife;environmental protection,,,10.1016/j.jenvman.2023.117696,DOI(,10.1016/j.jenvman.2023.117696,DOI(10.1016/j.jenvman.2023.117696) OR,,,,,
rayyan-1032990195,Towards stewardship of oceans: Role of G20 countries,2023,,,Current Science,,124,9,1019-1020,"Nayak, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159163287&partnerID=40&md5=fc5a1de2d7f1ee4b40759a8c206565b5,,,,"reason to protect the ocean environment. Oceans supply food, energy, mineral resources and are storehouses of bio-diversity; they influence weather and climate and provide an ecosystem for sustaining human life and other biota. Oceans are the major source of fossil-fuel-based energy and influence the economy of the world and thus also are of strategic importance. It is imperative that future growth and prosperity will be dependent on oceans in view of the im-pacts of climate change on sustainability. For the same rea-son, the UN Conference on Sustainable Development in 2012, stressed expanding the green economy to a blue eco-nomy. The conservation and sustainable utilization of the oceans, seas and marine resources have been identified as one of the UN Sustainable Development Goals (SDGs). Con-sidering the importance of ocean development, UNESCO/ International Oceanographic Commission (IOC) has decla-red the current decade as the ‘Decade of Ocean Science’ to deliver the science needed to achieve SDG-14, ‘Life under Water’. Prime Minister Narendra Modi has recognized the vital role of the ocean-dependent economy for future deve-lopment and very aptly articulated the importance of the blue economy as follows: ‘To me, the blue chakra or wheel in India’s flag represents the potential of the blue revolution, or the ocean economy’. As oceans are going to play a stellar role in global development, it is vital that G20 under India’s Presidency gives sufficient importance to develop the blue economy for global good. © 2023, Current Science. All Rights Reserved.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: positive,Tier 1 (BE),non-targeted",,,,,Towards stewardship of oceans: Role of G20 countries,TITLE(,Towards stewardship of oceans: Role of G20 countries,TITLE(Towards stewardship of oceans: Role of G20 countries) OR,,,,,
rayyan-1032990196,"Diversity, equity, and inclusion in the Blue Economy: Why they matter and how do we achieve them?",2023,,,Frontiers in Political Science,,4,,,"Issifu, I. and Dahmouni, I. and Deffor, E.W. and Sumaila, U.R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147110283&doi=10.3389%2ffpos.2022.1067481&partnerID=40&md5=fb3f28172b05e5788c66a75565123e15,,,,"The Blue Economy (BE) has captured the attention of diverse interests to the ocean and there is rising concern about making it more equitable and inclusive. As it currently stands, diversity, social equity, and inclusion considerations have not been foregrounded in the discourse surrounding the BE and are continuously overlooked and undervalued. This paper reviews the ongoing social inequalities in the BE and distribution of benefits and costs across different groups in society. It also explores why equity matters, and how it can be achieved. Mirroring the call for under-represented or marginalized social groups to receive a fair share of the returns, which may be more than they have received to date. Our analysis shows that between 1988 and 2017, a Germany–based company has registered about 39% of all known marine genetic resources, while three companies in Asia control 30% of the market share of seafood sector in 2018. These findings show high consolidation of the ocean space by top corporations. Therefore, this paper argues that the exclusion of equity considerations within the BE investments can undermine ocean-based activities such as marine wildlife conservation initiatives that may disrupt the ocean sustainability agenda. Copyright © 2023 Issifu, Dahmouni, Deffor and Sumaila.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: negative,Tier 1 (BE),non-targeted",10.3389/fpos.2022.1067481,Blue Economy;diversity;equity;gender;inclusion;ocean sustainable development;sustainable Blue Economy,,,10.3389/fpos.2022.1067481,DOI(,10.3389/fpos.2022.1067481,DOI(10.3389/fpos.2022.1067481) OR,,,,,
