"","doi","title","journal","authors1","year","Policies","Twitter","Facebook","Blogs","News","Wikipedia"
"1","10.1002/pan3.10412","Making the UN Ocean Decade work? The potential for, and challenges of, transdisciplinary research and real‐world laboratories for building towards ocean solutions","PEOPLE AND NATURE","Andrea Franke",2022,NA,NA,NA,NA,5,NA
"2","10.1007/978-3-031-10812-9","The Ocean and Us",NA,NA,2023,NA,NA,NA,NA,NA,NA
"3","10.1007/978-981-15-8369-8","Recent updates in molecular Endocrinology and Reproductive Physiology of Fish",NA,NA,2021,NA,NA,NA,1,NA,NA
"4","10.1007/s10584-022-03310-5","Macroeconomic impacts of climate change on the Blue Economy sectors of southern European islands","Climatic Change","Zoi Vrontisi",2022,NA,NA,NA,1,NA,NA
"5","10.1007/s10668-018-0133-z","Charting the course for a blue economy in Peru: a research agenda","Environment, Development and Sustainability","Emma McKinley",2018,2,NA,NA,NA,NA,NA
"6","10.1007/s11160-020-09628-6","Deep aspirations: towards a sustainable offshore Blue Economy","Reviews in Fish Biology and Fisheries","Camilla Novaglio",2021,NA,NA,1,NA,NA,NA
"7","10.1007/s11160-021-09636-0","Ocean resource use: building the coastal blue economy","Reviews in Fish Biology and Fisheries","Narissa Bax",2021,NA,NA,1,NA,NA,NA
"8","10.1007/s11160-022-09743-6","‘Getting the Right Nutrients to Those Who Need Them Most’: towards nutrition-sensitive governance of fisheries in the Global South","Reviews in Fish Biology and Fisheries","Antonio Allegretti",2022,NA,NA,NA,NA,2,NA
"9","10.1007/s11625-019-00777-7","The Blue Fix: What's driving blue growth?","Sustainability Science","Zoe W. Brent",2020,NA,NA,NA,1,NA,NA
"10","10.1007/s40152-020-00168-0","Blue economy discourses and practices: reconfiguring ocean spaces in the Philippines","Maritime Studies","Paula Satizábal",2020,1,NA,NA,NA,NA,NA
"11","10.1016/bs.amb.2019.08.003","Shark ecotourism in Mexico: Scientific research, conservation, and contribution to a Blue Economy","Advances in Marine Biology","A.M. Cisneros-Montemayor",2019,NA,NA,NA,1,NA,NA
"12","10.1016/j.algal.2022.102725","Life cycle assessment of a seaweed-based biorefinery concept for production of food, materials, and energy","Algal Research","Anna Ekman Nilsson",2022,1,NA,NA,NA,NA,NA
"13","10.1016/j.annale.2021.100011","Establishing a pre-COVID-19 baseline for surf tourism: Trip expenditure and attitudes, behaviors and willingness to pay for sustainability","Annals of Tourism Research Empirical Insights","Leon Mach",2021,NA,NA,NA,NA,NA,NA
"14","10.1016/j.biocon.2022.109574","Using systematic conservation planning to align priority areas for biodiversity and nature-based activities in marine spatial planning: A real-world application in contested marine space","Biological Conservation","Stephen D. Holness",2022,NA,NA,NA,1,NA,NA
"15","10.1016/j.biocon.2022.109821","Designing locally-appropriate conservation incentives for small-scale fishers","Biological Conservation","Hollie Booth",2023,NA,NA,NA,NA,NA,NA
