title,doi,altmetric_jid,issns,journal,cohorts.sci,context.all.count,context.all.mean,context.all.rank,context.all.pct,context.all.higher_than,context.journal.count,context.journal.mean,context.journal.rank,context.journal.pct,context.journal.higher_than,context.similar_age_3m.count,context.similar_age_3m.mean,context.similar_age_3m.rank,context.similar_age_3m.pct,context.similar_age_3m.higher_than,context.similar_age_journal_3m.count,context.similar_age_journal_3m.mean,context.similar_age_journal_3m.rank,context.similar_age_journal_3m.pct,context.similar_age_journal_3m.higher_than,authors1,authors2,authors3,authors4,authors5,authors6,type,epubdate,altmetric_id,schema,is_oa,publisher_subjects.name1,publisher_subjects.name2,publisher_subjects.scheme1,publisher_subjects.scheme2,cited_by_posts_count,cited_by_tweeters_count,cited_by_accounts_count,last_updated,score,history.1y,history.6m,history.3m,history.1m,history.1w,history.6d,history.5d,history.4d,history.3d,history.2d,history.1d,history.at,url,added_on,published_on,scopus_subjects1,scopus_subjects2,readers.citeulike,readers.mendeley,readers.connotea,readers_count,images.small,images.medium,images.large,details_url,issns1,issns2,pubdate,publisher_subjects.name,publisher_subjects.scheme,cited_by_fbwalls_count,scopus_subjects3,scopus_subjects4,cohorts.pub,publisher_subjects.name3,publisher_subjects.scheme3,cited_by_policies_count,scopus_subjects5,scopus_subjects6,publisher_subjects.name4,publisher_subjects.name5,publisher_subjects.name6,publisher_subjects.name7,publisher_subjects.name8,publisher_subjects.scheme4,publisher_subjects.scheme5,publisher_subjects.scheme6,publisher_subjects.scheme7,publisher_subjects.scheme8,authors7,authors8,authors9,authors10,authors11,authors12,authors13,authors14,authors15,authors16,cohorts.com,cited_by_msm_count,authors,cohorts.doc,cited_by_feeds_count,authors17,authors18,authors19,authors20,authors21,authors22,authors23,authors24,authors25,authors26,scopus_subjects,publisher_subjects.name9,publisher_subjects.name10,publisher_subjects.scheme9,publisher_subjects.scheme10,handles,handle,pmid,authors27,authors28,authors29,attribution,ordinal_number,arxiv_id,ads_id,isbns,isbns1,isbns2,editors,cited_by_wikipedia_count,uri,isbns3,authors_or_editors1,authors_or_editors2,authors_or_editors3,authors30,authors31,authors32,authors33,authors34,authors35,handles1,handles2,editors1,editors2,cited_by_rdts_count,authors36,authors37,authors38,authors39,authors40,authors41,authors42,authors43,authors44,authors45,authors46,authors47,authors48,authors49,authors50,authors51,authors52,authors53,authors54,authors55,authors56,editors3,editors4,authors57,authors58,published_date,year
Connecting Blue Economy and Economic Growth to Climate Change: Evidence from European Union Countries,10.3390/en14154600,4f6fa5243cf058f610003c10,1996-1073,Energies,1,23852579,10.428223511276,16069695,22,5301371,10372,3.09819475510991,3966,42,4414,436455,14.9037065172803,253893,31,138807,444,4.95088288288288,184,31,142,Roxana Maria Bădîrcea,Alina Georgiana Manta,Nicoleta Mihaela Florea,Silvia Puiu,Liviu Florin Manta,Marius Dalian Doran,article,1627516800,148992871,1.5.4,FALSE,Engineering,Physical Sciences,era,era,1,1,1,1685115949,1,1,1,1,0,0,0,0,0,0,0,0,1,http://dx.doi.org/10.3390/en14154600,1685115961,1627516800,Physical Sciences,Computer Science,0,52,0,52,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,https://www.altmetric.com/details.php?citation_id=148992871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-29T00:00:00Z,2021
"Aquaculture in Africa: A Comparative Review of Egypt, Nigeria, and Uganda Vis-À-Vis South Africa",10.1080/23308249.2020.1795615,4f6fa4d63cf058f6100010f7,NA,Reviews in Fisheries Science,NA,23312088,10.3063745729084,20712517,1,0,209,11.9150717703349,199,1,0,399406,17.93188932064,342151,1,0,9,31.3724444444444,9,1,0,Babatunde Adeleke,Deborah Robertson-Andersson,Gan Moodley,Simon Taylor,NA,NA,article,1595894400,130498850,1.5.4,FALSE,NA,NA,NA,NA,1,NA,1,1620473879,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,http://dx.doi.org/10.1080/23308249.2020.1795615,1656664271,1595894400,Life Sciences,Physical Sciences,0,234,0,234,https://badges.altmetric.com/?size=64&score=1&types=ffffffff,https://badges.altmetric.com/?size=100&score=1&types=ffffffff,https://badges.altmetric.com/?size=180&score=1&types=ffffffff,https://www.altmetric.com/details.php?citation_id=130498850,2330-8249,2330-8257,1617408000,Fisheries Sciences,era,1,Agricultural and Biological Sciences,Environmental Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-28T00:00:00Z,2020
Too important to fail? Evaluating legal adaptive capacity for increasing coastal and marine aquaculture production in EU-Finland,10.1016/j.marpol.2019.04.002,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,1,23509982,10.3584408370204,6212785,73,17257791,3372,14.0192170818505,1475,55,1879,461843,11.7221878430534,131328,71,329433,45,40.4295111111111,22,48,22,Niko Soininen,Antti Belinskij,Jukka Similä,Raine Kortet,NA,NA,article,NA,60251299,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,3,2,3,1649635200,4.85,0,0,0,0,0,0,0,0,0,0,0,4.85,http://dx.doi.org/10.1016/j.marpol.2019.04.002,1557518689,1575158400,Life Sciences,Social Sciences,0,73,0,73,https://badges.altmetric.com/?size=64&score=5&types=tttttddd,https://badges.altmetric.com/?size=100&score=5&types=tttttddd,https://badges.altmetric.com/?size=180&score=5&types=tttttddd,https://www.altmetric.com/details.php?citation_id=60251299,NA,NA,1575158400,NA,NA,NA,Environmental Science,"Economics, Econometrics and Finance",1,Law,era,1,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-01T00:00:00Z,2019
The paradox of sustainable tuna fisheries in the Western Indian Ocean: between visions of blue economy and realities of accumulation,10.1007/s11625-019-00751-3,4f6fa6063cf058f610006753,NA,Sustainability Science,3,22817213,10.2005329136561,4686244,79,18120255,789,14.0416653992395,381,51,407,455169,11.7575038150655,111348,75,343419,24,8.25008333333333,11,54,13,Mialy Andriamahefazafy,Megan Bailey,Hussain Sinan,Christian A. Kull,NA,NA,article,1577059200,73211297,1.5.4,FALSE,Multidisciplinary,Climate Change Management and Policy,era,springer,8,8,8,1585159818,6.05,0,0,0,0,0,0,0,0,0,0,0,6.05,http://dx.doi.org/10.1007/s11625-019-00751-3,1577192390,1577059200,Physical Sciences,Social Sciences,0,104,0,104,https://badges.altmetric.com/?size=64&score=7&types=tttttttt,https://badges.altmetric.com/?size=100&score=7&types=tttttttt,https://badges.altmetric.com/?size=180&score=7&types=tttttttt,https://www.altmetric.com/details.php?citation_id=73211297,1862-4065,1862-4057,1577836800,NA,NA,NA,Environmental Science,NA,5,Environment,springer,NA,NA,NA,Environmental Economics,Environmental Management,Landscape Ecology,Public Health,Sustainable Development,springer,springer,springer,springer,springer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23T00:00:00Z,2019
Feasibility of investment in Blue Growth multiple-use of space and multi-use platform projects; results of a novel assessment approach and case studies,10.1016/j.rser.2019.01.060,4f6fa5133cf058f610003451,1364-0321,Renewable & Sustainable Energy Reviews,1,23133982,10.2731764065743,3603304,84,19527953,4310,8.55284222737819,790,81,3520,349875,13.3132783251149,72491,79,277272,58,17.3161724137932,13,77,45,Gordon Dalton,Tamás Bardócz,Mike Blanch,David Campbell,Kate Johnson,Gareth Lawrence,article,NA,57219971,1.5.4,FALSE,NA,NA,NA,NA,15,7,8,1636416000,8.9,0,0,0,0,0,0,0,0,0,0,0,8.9,http://dx.doi.org/10.1016/j.rser.2019.01.060,1552915024,1559347200,Energy,Physical Sciences,0,163,0,163,https://badges.altmetric.com/?size=64&score=9&types=tttttddd,https://badges.altmetric.com/?size=100&score=9&types=tttttddd,https://badges.altmetric.com/?size=180&score=9&types=tttttddd,https://www.altmetric.com/details.php?citation_id=57219971,NA,NA,1559347200,Engineering,era,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Theodore Lilas,Erik Friis-Madsen,Frank Neumann,Nikitakos Nikitas,Saul Torres Ortega,Dimitris Pletsas,Pedro Diaz Simal,Hans Christian Sørensen,Afroula Stefanakou,Ian Masters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-01T00:00:00Z,2019
Blue growth and blue justice: Ten risks and solutions for the ocean economy,10.1016/j.marpol.2020.104387,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,57,24049457,10.5330746444842,315003,98,23734988,3507,14.0118209295694,57,98,3451,422850,16.7382145157847,9593,97,413264,70,16.2174285714286,2,98,69,Nathan James Bennett,Jessica Blythe,Carole Sandrine White,Cecilia Campero,NA,NA,article,NA,97202490,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,225,166,170,1687958325,121.7,3.5,0.5,0.5,0,0,0,0,0,0,0,0,121.7,http://dx.doi.org/10.1016/j.marpol.2020.104387,1609956685,1614556800,Life Sciences,Social Sciences,0,408,0,408,https://badges.altmetric.com/?size=64&score=122&types=mtttttfd,https://badges.altmetric.com/?size=100&score=122&types=mtttttfd,https://badges.altmetric.com/?size=180&score=122&types=mtttttfd,https://www.altmetric.com/details.php?citation_id=97202490,NA,NA,1614556800,NA,NA,2,Environmental Science,"Economics, Econometrics and Finance",107,Law,era,1,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-01T00:00:00Z,2021
"The Ocean Enterprise – understanding and quantifying business activity in support of observing, measuring and forecasting the ocean",10.1080/1755876x.2018.1543982,554b86742a83ee864e8b458d,NA,Journal of Operational Oceanography,NA,23114117,10.2690027356203,7331581,67,15635774,130,7.19421538461538,24,80,105,437822,11.4595738268048,150181,65,284955,7,7.58171428571429,3,57,4,Ralph Rayner,Carl Gouldman,Zdenka Willis,NA,NA,NA,article,1542758400,51769832,1.5.4,FALSE,NA,NA,NA,NA,2,1,2,1627668795,3.25,0,0,0,0,0,0,0,0,0,0,0,3.25,http://dx.doi.org/10.1080/1755876x.2018.1543982,1543251273,1542758400,NA,NA,0,27,0,27,https://badges.altmetric.com/?size=64&score=4&types=ttttdddd,https://badges.altmetric.com/?size=100&score=4&types=ttttdddd,https://badges.altmetric.com/?size=180&score=4&types=ttttdddd,https://www.altmetric.com/details.php?citation_id=51769832,1755-876X,1755-8778,1574208000,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-21T00:00:00Z,2018
"Property, power and planning: Attitudes to spatial enclosure in Scottish seas",10.1016/j.marpol.2019.103633,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,4,24192521,10.5569313442114,3030539,87,21160966,3524,14.0766435868332,868,75,2657,353809,13.7713828704179,62172,82,291595,74,34.1302432432432,29,62,46,Stephanie Weir,Sandy Kerr,NA,NA,NA,NA,article,NA,64371911,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,17,17,17,1565040562,10.75,0,0,0,0,0,0,0,0,0,0,0,10.75,http://dx.doi.org/10.1016/j.marpol.2019.103633,1564590263,1569888000,Life Sciences,Social Sciences,0,48,0,48,https://badges.altmetric.com/?size=64&score=11&types=tttttttt,https://badges.altmetric.com/?size=100&score=11&types=tttttttt,https://badges.altmetric.com/?size=180&score=11&types=tttttttt,https://www.altmetric.com/details.php?citation_id=64371911,NA,NA,1569888000,NA,NA,NA,Environmental Science,"Economics, Econometrics and Finance",13,Law,era,NA,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-01T00:00:00Z,2019
"In oceans we trust: Conservation, philanthropy, and the political economy of the Phoenix Islands Protected Area",10.1016/j.marpol.2019.01.010,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,2,24022746,10.5296373254869,3932230,83,20081898,3499,14.0263521006002,1055,69,2440,343293,13.6652990652291,74490,78,268591,76,18.8028947368421,34,56,43,Marc–Andrej Felix Mallin,Dennis C. Stolz,Benjamin S. Thompson,Mads Barbesgaard,NA,NA,article,NA,54841013,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,11,9,10,1654656300,8.35,0,0,0,0,0,0,0,0,0,0,0,8.35,http://dx.doi.org/10.1016/j.marpol.2019.01.010,1549090342,1567296000,Life Sciences,Social Sciences,0,119,0,119,https://badges.altmetric.com/?size=64&score=9&types=tttttttd,https://badges.altmetric.com/?size=100&score=9&types=tttttttd,https://badges.altmetric.com/?size=180&score=9&types=tttttttd,https://www.altmetric.com/details.php?citation_id=54841013,NA,NA,1567296000,NA,NA,NA,Environmental Science,"Economics, Econometrics and Finance",7,Law,era,1,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-01T00:00:00Z,2019
A new narrative for the Blue Economy and Blue Carbon,10.1080/19480881.2019.1625215,4f6fa52c3cf058f610004105,NA,Journal of the Indian Ocean Region,1,23925854,10.5173342196409,2243464,90,21682433,181,5.63111602209945,17,91,165,348816,13.4820890899492,47673,86,301140,8,9.975,2,87,7,Andrew D. L. Steven,Mathew A. Vanderklift,Narnia Bohler-Muller,NA,NA,NA,article,1563148800,64344575,1.5.4,FALSE,Environmental Sciences,Studies In Human Society,era,era,8,7,8,1687418820,14.4,10,7,7,0,0,0,0,0,0,0,0,14.4,http://dx.doi.org/10.1080/19480881.2019.1625215,1564543440,1563148800,NA,NA,0,109,0,109,https://badges.altmetric.com/?size=64&score=15&types=mttttttt,https://badges.altmetric.com/?size=100&score=15&types=mttttttt,https://badges.altmetric.com/?size=180&score=15&types=mttttttt,https://www.altmetric.com/details.php?citation_id=64344575,1948-0881,1948-108X,1556928000,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-15T00:00:00Z,2019
